,smile,pld,name,npz
961,O=C(C1=CNN=[C]1)[N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1c[nH][n-]c1)[N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co],8.05126,UWUKII_clean,voxels_50/UWUKII_clean-(id_7179).npz
962,O=C(CSc1ccncc1)CSc1ccncc1.[Co].[O]C12[C](C31C12C3([C]1Sc1ccncc1)[O])Sc1ccncc1,3.43749,GALFAB_clean,voxels_50/GALFAB_clean-(id_11414).npz
963,O=C(Cn1cnnn1)Nc1cccnc1.[Co],5.4978,ENESUN_clean,voxels_50/ENESUN_clean-(id_68).npz
964,O=C(Cn1cnnn1)Nc1cccnc1.[Cu],5.7847,ENESOH_clean,voxels_50/ENESOH_clean-(id_3535).npz
965,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].[N]1CC[N][N]CC1,2.99196,HUXHEP01_clean,voxels_50/HUXHEP01_clean-(id_10268).npz
966,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].[N]1[N][C]2[C]3[C]2N2[C]4[C]1[C]4N3[N]2,2.94307,HUXHEP_clean,voxels_50/HUXHEP_clean-(id_205).npz
967,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1,8.26406,LOXBEH_clean,voxels_50/LOXBEH_clean-(id_12465).npz
968,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1,4.05672,HUWHOY_clean,voxels_50/HUWHOY_clean-(id_1606).npz
969,O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)CCc1ccncc1,4.81184,HUXHUF_clean,voxels_50/HUXHUF_clean-(id_13094).npz
970,O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,6.83,HAPHUD_clean,voxels_50/HAPHUD_clean-(id_10827).npz
971,O=C(Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].O=C(Nc1ccncc1)Nc1ccncc1.[Zn],2.64563,TAVCIF_clean,voxels_50/TAVCIF_clean-(id_11613).npz
972,O=C(Nc1cccnc1)CCC(=O)Nc1cccnc1.[Co].[O-]C(=O)c1cccc(c1)C(=O)[O-],2.88798,VOPHUF_clean,voxels_50/VOPHUF_clean-(id_2757).npz
973,O=C(Nc1cccnc1)Cc1ccc(cc1)CC(=O)Nc1cccnc1.[Cd],3.80044,AKOBAF_clean,voxels_50/AKOBAF_clean-(id_3220).npz
974,O=C(Nc1ccncc1)CCCCCCC(=O)Nc1ccncc1.[Co].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],5.28318,GOVXIA_clean,voxels_50/GOVXIA_clean-(id_12311).npz
975,O=C(Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn],6.85068,SOPLOA_clean,voxels_50/SOPLOA_clean-(id_11542).npz
976,O=C(Nc1ccncc1)Nc1ccncc1.[Zn],6.00384,SOPLIU_clean,voxels_50/SOPLIU_clean-(id_7852).npz
977,O=C([C]([N]C(=O)C1=[C]N=[C][C]=[C]1)[C]C1=[C][C]=[C][C]=[C]1)[N]C1=[C]N=[C][C]=[C]1.O=C([C]([N]C(=O)C1=[C]N=[C][C]=[C]1)[C]C1=[C][C]=[C][C]=[C]1)[N]C1=[C][C]=[C]N=[C]1.O=C([C]([N]C(=O)C1=[C][C]=[C]N=[C]1)[C]C1=[C][C]=[C][C]=[C]1)[N]C1=[C]N=[C][C]=[C]1.[Cu],2.49138,PAPPAZ_clean,voxels_50/PAPPAZ_clean-(id_1090).npz
978,O=C(c1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1)Nc1cccnc1.[Co].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1N)N)C(=O)[O-].[O-]C=O,3.97231,ZUQMAB_clean,voxels_50/ZUQMAB_clean-(id_1963).npz
979,O=C(c1cc(cc(c1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Cd],4.39,TEYHIP_charged,voxels_50/TEYHIP_charged-(id_9884).npz
982,O=C(c1cc(cc(c1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Cu],15.7898,XIDSUZ_clean,voxels_50/XIDSUZ_clean-(id_8233).npz
983,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Cd],4.08689,ATIXUX_clean,voxels_50/ATIXUX_clean-(id_1084).npz
984,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Co],5.51,OXITOF_clean,voxels_50/OXITOF_clean-(id_12692).npz
985,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Co].n1ccncc1,2.52,YAPYUK_clean,voxels_50/YAPYUK_clean-(id_1967).npz
986,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Ni].n1ccc(cc1)[C]1N[N]C(=N1)c1ccncc1,3.33,DIBPIP_clean,voxels_50/DIBPIP_clean-(id_1116).npz
987,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Ni].n1ccncc1,2.64,DODHUA_clean,voxels_50/DODHUA_clean-(id_10251).npz
988,O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Zn].c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,3.66,LIWXIZ_clean,voxels_50/LIWXIZ_clean-(id_4033).npz
989,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],4.8515,FIPKOG_clean,voxels_50/FIPKOG_clean-(id_7211).npz
990,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co],6.79,CEKHIL_clean,voxels_50/CEKHIL_clean-(id_7735).npz
991,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],4.74684,FIPKUM_clean,voxels_50/FIPKUM_clean-(id_198).npz
992,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Cd].[O-]C(=O)c1ccc(s1)C(=O)[O-],3.8,TETZID_clean,voxels_50/TETZID_clean-(id_6900).npz
993,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Cd].[O-]C(=O)c1ccncc1,3.74941,OTUXUX_clean,voxels_50/OTUXUX_clean-(id_12867).npz
994,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],3.52279,ic302758g_si_002_clean,voxels_50/ic302758g_si_002_clean-(id_559).npz
995,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn],6.73,TETZEZ_clean,voxels_50/TETZEZ_clean-(id_7106).npz
996,O=C(c1ccc(cc1)C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],2.99551,VIXZUZ_clean,voxels_50/VIXZUZ_clean-(id_10714).npz
997,O=C(c1ccc(cc1)C(=O)[O-])Nc1cc(cc(c1)C1([O])OO1)C(=O)[O-].[Cd],2.68812,ZIKCAZ_clean,voxels_50/ZIKCAZ_clean-(id_13164).npz
998,O=C(c1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)CCc1ccncc1,3.2825,COMZAH_clean,voxels_50/COMZAH_clean-(id_4179).npz
999,O=C(c1ccc(cc1)C(=O)[O-])Nc1ccncc1.[Cu],6.12459,WUSSEK_clean,voxels_50/WUSSEK_clean-(id_11455).npz
1000,O=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,4.97595,VIVXOP_clean,voxels_50/VIVXOP_clean-(id_14253).npz
1001,O=C(c1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],2.40016,ARUCOH01_clean,voxels_50/ARUCOH01_clean-(id_15265).npz
1002,O=C(c1ccc(cc1)Oc1ccc(cc1)C(=O)[N]c1ccncc1)[N]c1ccncc1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],2.494625,ARUDAU_clean,voxels_50/ARUDAU_clean-(id_4178).npz
1004,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccnc1)Nc1cccnc1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],4.81158,FEGNIQ_clean,voxels_50/FEGNIQ_clean-(id_9094).npz
1005,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-].[O][C](c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Zn],7.8188,DUNYOC_clean,voxels_50/DUNYOC_clean-(id_9789).npz
1006,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn],7.12488,RAYKIN_clean,voxels_50/RAYKIN_clean-(id_7931).npz
1007,O=C(c1ccc(cc1)c1ccncc1)[CH]C(=O)C(F)(F)F.[Mn],11.0632,APARAM_clean,voxels_50/APARAM_clean-(id_7860).npz
1008,O=C(c1ccc(s1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],6.43178,WAQFIG_clean,voxels_50/WAQFIG_clean-(id_9865).npz
1009,O=C(c1ccc2=C[C]=CC=c2c1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1ccc2c(c1)C=C[C]=C2)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co].[NH]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],4.30539,WODREO_clean,voxels_50/WODREO_clean-(id_11014).npz
1010,O=C(c1ccc2c(c1)ccc(c2)C(=O)Nc1cccnc1)Nc1cccnc1.[Co].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],3.45324,JUJTAL_clean,voxels_50/JUJTAL_clean-(id_4618).npz
1011,O=C(c1cccc(c1)C(=O)Nc1ccncc1)Nc1ccncc1.[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],5.14,IXUWII_clean,voxels_50/IXUWII_clean-(id_4008).npz
1012,O=C(c1cccc(c1)C(=O)Nc1ccncc1)Nc1ccncc1.[Co].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],3.21,IXUWOO_clean,voxels_50/IXUWOO_clean-(id_4272).npz
1013,O=C(c1cccc(n1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-].[Zn],3.11049,GADHIF_clean,voxels_50/GADHIF_clean-(id_11552).npz
1014,O=C(c1ccccc1)NC(C(=O)[O-])CCC(=O)[O-].[Cu].[O-][C]=O.n1ccc(cc1)CCc1ccncc1,2.66988,j.ica.2016.05.051_4_clean,voxels_50/j.ica.2016.05.051_4_clean-(id_4216).npz
1015,O=C(c1ccccc1C(=O)[O-])[N]CCCn1cncc1.[Cu],2.73319,XINYAW_clean,voxels_50/XINYAW_clean-(id_15221).npz
1016,O=C(c1ccccn1)[N]c1ccc(cc1)C(=O)[O-].[Co].[Zn],3.59669,KUTRUO_clean,voxels_50/KUTRUO_clean-(id_14185).npz
1017,O=C(c1cccnc1)NCCNC(=O)c1cccnc1.[Cu],5.300915,GUHMIH_clean,voxels_50/GUHMIH_clean-(id_9971).npz
1019,O=C(c1cccnc1)[N]N=C(c1cnccn1)C.[Cd],4.87372,WOTSEF_clean,voxels_50/WOTSEF_clean-(id_14268).npz
1020,O=C(c1cccnc1)c1cccc(n1)C(=O)c1cccnc1.[Cd],4.0538,KIJPUQ_clean,voxels_50/KIJPUQ_clean-(id_6972).npz
1021,O=C(c1ccncc1)N1CCN(CC1)C(=O)c1ccncc1.[Cu].[O-]C(=O)C=Cc1ccccc1C(=O)[O-],2.71527,AJINOY_clean,voxels_50/AJINOY_clean-(id_8860).npz
1022,O=C(c1ccncc1)NCCCCN1[C]OO[C]N([C]OO[C]1)CCCCNC(=O)c1ccncc1.[Cu],4.76606,CEMKOV_clean,voxels_50/CEMKOV_clean-(id_9443).npz
1023,O=C(c1ccncc1)NCc1ccncc1.[Cd].[O-]C(=O)CC(C(=O)[O-])(C)C,2.58033,CABDER_clean,voxels_50/CABDER_clean-(id_3724).npz
1024,O=C(c1ccncc1)NN=Cc1ccncc1.[O-]C(=O)C12[CH][CH]C34C5C1C2C5[C]3C12[C]4C3C2C2C3C2([CH][CH]1)C(=O)[O-].[Zn],3.14099,EWETIL_clean,voxels_50/EWETIL_clean-(id_9421).npz
1025,O=C(c1ccncc1)NN=Cc1ccncc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],3.52189,EWESAC_clean,voxels_50/EWESAC_clean-(id_8487).npz
1026,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu],3.340183333,UNABUH_clean,voxels_50/UNABUH_clean-(id_13351).npz
1029,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Eu].[Mn],2.57,NASMEB_clean,voxels_50/NASMEB_clean-(id_14163).npz
1030,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Eu].[Ni],2.5328,XOMZAC_clean,voxels_50/XOMZAC_clean-(id_1935).npz
1031,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Gd].[Mn],2.56,NASMIF_clean,voxels_50/NASMIF_clean-(id_10852).npz
1032,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Mn],3.89,DUXMAL_clean,voxels_50/DUXMAL_clean-(id_6275).npz
1033,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Ni],3.89522,VIQQUJ_clean,voxels_50/VIQQUJ_clean-(id_9648).npz
1034,O=C(c1ccncc1)Nc1cccnc1.[Cu].[O-]C(=O)C(C(=O)[O-])(C)C,6.10381,EJOZOU_clean,voxels_50/EJOZOU_clean-(id_7956).npz
1035,O=C(c1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn],8.71112,HUQHIM_clean,voxels_50/HUQHIM_clean-(id_11286).npz
1036,O=C(c1ccncc1)OCC(COC(=O)c1ccncc1)(COC(=O)c1ccncc1)COC(=O)c1ccncc1.[Cu],3.855,IKOSOQ_clean,voxels_50/IKOSOQ_clean-(id_2812).npz
1038,O=C(c1ccncc1)OCCn1c(=O)n(CCOC(=O)c2ccncc2)c(=O)n(c1=O)CCOC(=O)c1ccncc1.[Cu],3.26807,BIHRER_clean,voxels_50/BIHRER_clean-(id_7749).npz
1039,O=C(c1ccncc1)OCc1cc(COC(=O)c2ccncc2)cc(c1)COC(=O)c1ccncc1.[Cu],5.76129,DOTFID_clean,voxels_50/DOTFID_clean-(id_1777).npz
1040,O=C(c1ccncc1)O[CH]C([CH]OC(=O)c1ccncc1)([CH]OC(=O)c1ccncc1)[CH]OC(=O)c1ccncc1.[Co],3.8,CETJAN_clean_h,voxels_50/CETJAN_clean_h-(id_3338).npz
1041,O=C(c1ccncc1)Oc1cccc(c1)OC(=O)c1ccncc1.[Cu],2.89057,MIVWAR_clean,voxels_50/MIVWAR_clean-(id_6542).npz
1042,O=C(c1ccncc1)[CH]C(=O)C.[Cu],5.075,ECAHOH_clean,voxels_50/ECAHOH_clean-(id_2158).npz
1044,O=C(c1ccncc1)[CH]C(=O)c1ccncc1.[Ag].[Fe].[O]C(=CC(=O)c1ccncc1)c1ccncc1,7.28168,EBIDOK_ion_b,voxels_50/EBIDOK_ion_b-(id_6577).npz
1045,O=C(c1ccncc1)[N]c1ccncc1.[C]#N.[Ni].[Zn],4.01,EBELUU_clean,voxels_50/EBELUU_clean-(id_13544).npz
1046,O=C(c1ccncc1)c1ccncc1.[Cu].[Mo].[O],2.62,GUJTOV_clean,voxels_50/GUJTOV_clean-(id_3991).npz
1047,O=C(c1cncc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Zn],17.12,ADUROI_clean,voxels_50/ADUROI_clean-(id_8313).npz
1048,O=C(c1cncc(c1)C(=O)Nc1cccnc1)Nc1cccnc1.[Cd].[S]C#N,3.67,EBATUY_clean,voxels_50/EBATUY_clean-(id_14473).npz
1049,O=C1C(=C(N(=O)=O)[C](C(=C1n1cncn1)N(=O)=O)n1cncn1)n1cncn1.O=C1[C](n2cncn2)C(=C(C(=C1N1[CH]N=C[N]1)N(=O)=O)n1cncn1)N(=O)=O.O=C1[C](n2cncn2)C(=C(C(=C1n1cncn1)N(=O)=O)n1cncn1)N(=O)=O.[Ag],2.91,MUKRIU_clean,voxels_50/MUKRIU_clean-(id_13144).npz
1050,O=C1C(=O)C(=O)C1=O.[Co].[OH],3.916666667,REGJIW01_clean,voxels_50/REGJIW01_clean-(id_13782).npz
1053,O=C1C(=O)C(=O)C1=O.[Cu].[OH],3.05,AGESIP_clean,voxels_50/AGESIP_clean-(id_6997).npz
1054,O=C1CCCN1.[Mn].[O-]C(=O)c1ccc(s1)C(=O)[O-],3.34,ZIGWUJ_clean,voxels_50/ZIGWUJ_clean-(id_2765).npz
1055,O=C1N(c2ccncc2)C(=O)c2c1cc(cc2)C(=O)[O-].[Cd],6.49,CUNWEO_clean,voxels_50/CUNWEO_clean-(id_134).npz
1056,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)C12C=CC3(C4C1C2C34)C(=O)[O-],5.33678,IGOJEV_clean,voxels_50/IGOJEV_clean-(id_9001).npz
1057,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],5.51917,BUSRUE_clean,voxels_50/BUSRUE_clean-(id_825).npz
1058,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)C1=C(SC(=C2SC(=C(S2)C(=O)[O-])C(=O)[O-])S1)C(=O)[O-].[Zn],3.95054,QOMTET_clean,voxels_50/QOMTET_clean-(id_2269).npz
1059,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[Zn],11.3344,FORKUU_clean,voxels_50/FORKUU_clean-(id_2686).npz
1060,O=C1NC2=CC=C3C4C2C2C(=CC=C(C42)C2(C3([O])O2)[O])NC(=O)c2cc3cc(c2)C(=O)NC2=CC=C4C5C2C2C(=CC=C(C52)C2([O])OC42[O])NC(=O)c2cc1cc(c2)C(=O)NC1=CC=C2C4C1C1C(=CC=C(C41)C1(C2([O])O1)[O])NC3=O.[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccncc1.[Zn],10.04,SETTAO_clean,voxels_50/SETTAO_clean-(id_15226).npz
1061,O=C1NC=NC2=NC=N[C]12.[Co].[O],4.52,IWELIG01_clean,voxels_50/IWELIG01_clean-(id_3123).npz
1062,O=C1NCCN1.[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],5.23786,IYASOS_clean,voxels_50/IYASOS_clean-(id_11637).npz
1063,O=C1NCCN1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],5.36,EPEWEC_clean,voxels_50/EPEWEC_clean-(id_1093).npz
1065,O=C1NCCN1.[Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],4.69208,DADLIG_clean,voxels_50/DADLIG_clean-(id_756).npz
1066,O=C1NCc2ccc(cc2)CNC(=O)C2C(c3cccnc3)C(C2c2cccnc2)C(=O)NCc2ccc(CNC(=O)C3C(C1C3c1cccnc1)c1cccnc1)cc2.[Cd],2.7427,UCALIW_clean,voxels_50/UCALIW_clean-(id_10299).npz
1067,O=C1N[CH]N=C2[C]1N=C[N]2.[Co].[O],4.5,IWELIG_clean,voxels_50/IWELIG_clean-(id_8240).npz
1068,O=C1O[C][C]=C2C1=[C][C]=NC2=O.[Cd].[O-]C(=O)c1ccncc1,4.62269,SIVJIS_clean,voxels_50/SIVJIS_clean-(id_2354).npz
1069,O=C1O[Li]([O])([O])OC(=O)[C]2C1=NC=N2.[Li].[Ni].[O-]C(=O)C1=C([N]C=N1)C(=O)[O-].[O-]C(=O)C1=NC=N[C]1C(=O)[O-],3.18,ICITUK_charged,voxels_50/ICITUK_charged-(id_5781).npz
1071,O=C1[CH]C(=O)NC(=S)N1.[Ni],4.06012,NEYYUN_clean,voxels_50/NEYYUN_clean-(id_14202).npz
1072,O=C1[CH][CH]N=C[N]1.O=C1[CH][C]=NC=N1.O=C1[N]C=NC(=O)[CH]1.[Cu],3.91,ALIXAU_clean_h,voxels_50/ALIXAU_clean_h-(id_8427).npz
1073,O=C1[C]O[N]C=N[C]OC2(O[C]N=C[N]O[C][C]1)OO2.O=C1[C][C]ON=C[N][C]2[C](N=C[N]O[C]1)OC1(O2)OO1.O=C1[C][C]ON=C[N][C]OC2(O[C]N=C[N]O[C]1)OO2.O=C1[C][C]O[N]C=N[C]OC2(O[C][N]C=NO[C]1)OO2.[Cd],2.45168,cg060408tsi20060629_081747_clean,voxels_50/cg060408tsi20060629_081747_clean-(id_2288).npz
1074,O=C1[N]C=CN=C1C(=O)[O-].[Cu].[O-]C(=O)C1=N[CH]C=NC1=O,3.89356,QIRWAR_clean,voxels_50/QIRWAR_clean-(id_1046).npz
1075,O=C1c2cc(ccc2-c2c1cc(cc2)C(=O)[O-])C(=O)[O-].[O]CC[O].[Zn],4.99,MACHIJ_clean,voxels_50/MACHIJ_clean-(id_15175).npz
1076,O=C1c2ccc(cc2C(=O)c2c1cc(cc2)C(=O)[O-])C(=O)[O-].[Mn].[O-]C(=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C(=O)[O-],5.83185,UKUPIB_clean,voxels_50/UKUPIB_clean-(id_3560).npz
1077,O=C=O.[Mn].[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)C(=O)[O-])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)C(=O)[O-])[N]4)c1ccc(cc1)C(=O)[O-])C=C3)[N]2.[Zn][Zn],4.99407,ic3019502_si_002_clean,voxels_50/ic3019502_si_002_clean-(id_8435).npz
1078,O=N(=O)C1=CC(=C[C]=C1C1=C(C=C(C=[C]1)C(=O)[O-])N(=O)=O)C(=O)[O-].[Co].c1ncn(c1)c1ccc(cc1)[N][N]c1ccc(cc1)n1cncc1,2.52,KINLAW_clean,voxels_50/KINLAW_clean-(id_6497).npz
1079,O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[Cd],7.65,GUPDEB_clean,voxels_50/GUPDEB_clean-(id_13722).npz
1080,O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[Co],7.16489,UZAROE_clean,voxels_50/UZAROE_clean-(id_13482).npz
1081,O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[Zn].c1ccc2c(c1)N=C[N]2,8.24,XEDPED_clean,voxels_50/XEDPED_clean-(id_14238).npz
1083,O=N(=O)C1=NC=C[N]1.O=N(=O)[C]1N2C3C2C2N1C32.[Zn],12.7178,YOZCEW_clean,voxels_50/YOZCEW_clean-(id_14110).npz
1084,O=N(=O)C1=NC=C[N]1.[C]1=CC2=C(C=[C]1)[N]C=N2.[C]1=[C]C=C2C(=C1)N=C[N]2.[Zn],4.224653333,YOZBOF01_clean,voxels_50/YOZBOF01_clean-(id_11234).npz
1087,O=N(=O)C1=NC=C[N]1.[C]1=C[C][N]N=C[N][N][C]=C[C]1.[N]1[N][C]=C[C]=[C]C=[C][N]N=C1.[Zn].c1ccc2c(c1)N=C[N]2,4.92005,GITVAH01_clean,voxels_50/GITVAH01_clean-(id_3903).npz
1088,O=N(=O)C1=NC=C[N]1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],6.64118,LACBID_clean,voxels_50/LACBID_clean-(id_8320).npz
1089,O=N(=O)C1=NC=C[N]1.[Zn],3.99,GITWIQ_clean,voxels_50/GITWIQ_clean-(id_11135).npz
1090,O=N(=O)C1=NC=C[N]1.[Zn].c1ccc2c(c1)N=C[N]2,5.32775,XEDPUT_clean,voxels_50/XEDPUT_clean-(id_461).npz
1091,O=N(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Cd].n1ccncc1,3.99095,SAMLAV_manual,voxels_50/SAMLAV_manual-(id_6461).npz
1092,O=N(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Cu].[N]([CH]c1ccncc1)[N][CH]c1ccncc1,4.40357,WAHGIY_clean,voxels_50/WAHGIY_clean-(id_13826).npz
1093,O=N(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Cu].n1ccc(cc1)C=Cc1ccncc1,4.28444,TUJGIQ_clean,voxels_50/TUJGIQ_clean-(id_2863).npz
1094,O=N(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Cu].n1ccc(cc1)[N][N]c1ccncc1,3.78472,WAHFUJ01_clean,voxels_50/WAHFUJ01_clean-(id_14647).npz
